,,,,
Word,Definition,partOfSpeech,Example,Phonetic Respellling
proscibe ,"to denounce, condemn, or prohibit something",verb,"""The new law will officially proscribe the use of facial recongintion software in publice spaces""",proh-skrahyb
griseous ,gray or pearl gray ,adjective ,"""She looked up, her griseous eyes catching the light like the old silver:""",gris-ee-uhs 
pogonip,a fog formed from very small ice crystals,noun ,"""You might not feel frostbite right away in a pogonip, but the constant damp chill makes hypothermia a quiet threat""",pog-uh-nip
psittacine,of or realting to parrots ,adjective ,"""The sanctuary echoed with psittacine chatter as dozens of rescued parrots squawed, sang and talked""",sit-uh-sahyn 
hornswoggle ,to cheat or swindle ,verb,"""The startup tried to hornswoggle investors with a product that barley worked.""",hawrn-swog-uhl
dactylogram ,a fingerprint ,noun ,"""The only evidendce left behind was a lone dactlogram smudged across the shattered windowpane.""",dak-til-uh-gram
fickle,likely to change ,adjective ,"""The weather here is notoriously fickle, swinging from sunshine to storms in minutes.""",fik-uhl 
nictate ,to wink ,verb ,"""The horse nictated breifly after the fly buzzed near its eye.""", nik-teyt 
siesta ,a midday or afternoon rest or nap ,noun ,"""A gentle breeze and a shaded bench for the perfect impromptu siesta"" ",see-es-tuh
erst ,"before the present time, formely ",adverb,"""Erst the heart of the city's jazz scene, the stree is now fill with retail chains.""",urst
